team_id,event_date,start_time,end_time,event_type,opponent,location,notes
team_4,2025-12-02,5:00 PM,06:30 PM,Practice,,,
team_4,2025-12-04,5:00 PM,06:30 PM,Practice,,,
team_4,2025-12-09,5:00 PM,06:30 PM,Practice,,,
team_4,2025-12-11,5:00 PM,06:30 PM,Practice,,,
team_4,2025-12-16,5:00 PM,06:30 PM,Practice,,,
team_4,2025-12-18,5:00 PM,06:30 PM,Practice,,,
team_4,2025-12-23,5:00 PM,06:30 PM,Practice,,,
team_4,2025-12-25,5:00 PM,06:30 PM,Practice,,,
team_4,2025-12-30,5:00 PM,06:30 PM,Practice,,,
team_4,2026-01-01,5:00 PM,06:30 PM,Practice,,,
team_4,2026-01-06,5:00 PM,06:30 PM,Practice,,,
team_4,2026-01-08,5:00 PM,06:30 PM,Practice,,,
